ClassName	CodeNumb
EIF2B3;CCNB1IP1P1	787
MRPS17P1	788
HECTD3	789
UROD	790
ZSWIM5	791
ZSWIM5;LINC01144	792
HPDL	793
MUTYH	794
MUTYH;TOE1	795
TOE1	796
TESK2	797
CCDC163	798
MMACHC	799
PRDX1	800
PRDX1;HMGB1P48	801
AKR1A1	802
NASP	803
CCDC17	804
GPBP1L1	805
TMEM69	806
IPP	807
RPL6P1	808
MAST2	809
MAST2;TMA16P2	810
PIK3R3	811
TSPAN1	812
TSPAN1;P3R3URF	813
POMGNT1	814
POMGNT1;LURAP1	815
LURAP1	816
RAD54L	817
RAD54L;LRRC41	818
LRRC41	819
UQCRH	820
NSUN4	821
FAAH	822
FAAHP1	823
FAAHP1;LINC01398	824
DMBX1	825
TMEM275	826
KNCN	827
MKNK1	828
MKNK1;MOB3C	829
ATPAF1	830
ATPAF1;TEX38	831
EFCAB14	832
CYP4B1	833
CYP4Z2P	834
CYP4A11	835
CYP4A26P	836
CYP4A43P	837
CYP4A27P	838
CYP4A44P	839
CYP4X1	840
CYP4Z1	841
CYP4Z1;TUBAP9	842
CYP4A22	843
MTND1P34	844
LINC00853	845
PDZK1IP1	846
TAL1	847
STIL	848
CMPK1	849
CMPK1;LINC01389	850
LINC01389	851
FOXE3	852
FOXD2	853
RPL21P24	854
ATP6V0E1P4	855
LINC01738	856
TRABD2B	857
LINC02794	858
SKINT1L	859
SLC5A9	860
SPATA6	861
AGBL4	862
AGBL4;BEND5	863
AGBL4;ZNF859P	864
ELAVL4	865
LINC02808	866
HMGB1P45	867
FCF1P6	868
DMRTA2	869
FAF1	870
CDKN2C	871
MIR4421	872
MIR6500	873
C1orf185	874
CFL1P2	875
LINC01562	876
RNF11	877
TTC39A	878
EPS15	879
CALR4P	880
CALR4P;OSBPL9	881
OSBPL9	882
OSBPL9;GAPDHP51	883
OSBPL9;SLC25A6P3	884
OSBPL9;NRDC	885
NRDC	886
RAB3B	887
RN7SL290P	888
TXNDC12	889
BTF3L4	890
ZFYVE9	891
ZFYVE9;CC2D1B	892
CC2D1B	893
PLA2G12AP1	894
ORC1	895
PRPF38A	896
PRPF38A;TUT4	897
TUT4	898
EEF1GP7	899
GPX7	900
SHISAL2A	901
COA7	902
NDUFS5P3	903
RN7SL62P	904
ZYG11B	905
ZYG11A	906
ECHDC2	907
SCP2	908
SCP2;RRAS2P1	909
SCP2;TUBBP10	910
PODN	911
SLC1A7	912
CPT2	913
CZIB	914
MAGOH	915
LRP8	916
LINC02812	917
SLC25A3P1	918
DMRTB1	919
GLIS1	920
NDC1	921
YIPF1	922
DIO1	923
HSPB11	924
LRRC42	925
HNRNPA3P12	926
LDLRAD1	927
TMEM59	928
TCEANC2	929
CDCP2	930
CYB5RL	931
CYB5RL;MRPL37	932
MRPL37	933
SSBP3	934
LINC02784	935
HNRNPA1P63	936
ACOT11	937
ACOT11;FAM151A	938
MROH7	939
TTC4	940
PARS2	941
TTC22	942
LEXM	943
DHCR24	944
TMEM61	945
BSND	946
PCSK9	947
USP24	948
MIR4422HG	949
MIR4422HG;GYG1P3	950
GOT2P1	951
MTCO2P34	952
RN7SKP291	953
LINC01755	954
LINC01755;LINC01753	955
LINC01755;LINC01753;PIGQP1	956
RPSAP20	957
LINC01767	958
PLPP3	959
PLPP3;RPL21P23	960
PLPP3;RPL23AP85	961
PRKAA2	962
FYB2	963
C8A	964
C8B	965
DAB1	966
DAB1;RPS20P5	967
DAB1;HNRNPA1P6	968
DAB1;RPS26P15	969
DAB1;OMA1	970
OMA1	971
RN7SL713P	972
TACSTD2	973
MYSM1	974
JUN	975
LINC01135	976
LINC01135;LINC02777	977
LINC02777	978
LINC01358	979
LINC01358;PHB1P3	980
FGGY	981
HOOK1	982
CYP2J2	983
RN7SL475P	984
C1orf87	985
PGBD4P8	986
LINC02778	987
LINC01748	988
NFIA	989
TM2D1	990
PATJ	991
PIGPP2	992
RPS15AP7	993
L1TD1	994
KANK4	995
USP1	996
DOCK7	997
DOCK7;ANGPTL3	998
ATG4C	999
LINC01739	1000
LINC00466	1001
FOXD3	1002
MIR6068	1003
ALG6	1004
ITGB3BP	1005
ITGB3BP;EFCAB7	1006
ITGB3BP;EFCAB7;DLEU2L	1007
PGM1	1008
ROR1	1009
UBE2U	1010
CACHD1	1011
RAVER2	1012
JAK1	1013
JAK1;LINC01359	1014
MRPS21P1	1015
AK4	1016
DNAJC6	1017
DNAJC6;COX6CP13	1018
LEPROT	1019
LEPROT;LEPR	1020
LEPR	1021
RN7SL854P	1022
PDE4B	1023
SGIP1	1024
DYNLT5	1025
INSL5	1026
DNAI4	1027
MIER1	1028
SLC35D1	1029
C1orf141	1030
C1orf141;IL23R	1031
IL23R	1032
DNAJB6P4	1033
IL12RB2	1034
SERBP1	1035
LINC01702	1036
RN7SL392P	1037
HNRNPCP9	1038
GADD45A	1039
GNG12	1040
DIRAS3	1041
WLS	1042
WLS;CTBP2P8	1043
RPS7P4	1044
COX6B1P7	1045
ELOCP18	1046
RPE65	1047
DEPDC1	1048
TXNP2	1049
LINC01707	1050
LINC01707;LINC02791	1051
LINC02791	1052
LINC01758	1053
LRRC7	1054
LRRC7;SGO1P1	1055
LRRC40	1056
SRSF11	1057
ANKRD13C	1058
HHLA3	1059
CTH	1060
CTH;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP;Metazoa_SRP	1061
CHORDC1P5	1062
CASP3P1	1063
LINC01788	1064
PTGER3	1065
ZRANB2	1066
NEGR1	1067
RPL31P12	1068
LINC02796	1069
LINC02797	1070
KRT8P21	1071
RN7SKP19	1072
LINC01360	1073
LINC02238	1074
RNA5SP50	1075
RNU4ATAC8P	1076
LRRIQ3	1077
FPGT	1078
TNNI3K	1079
TNNI3K;LRRC53	1080
ERICH3	1081
CRYZ	1082
TYW3	1083
LHX8	1084
SLC44A5	1085
ACADM	1086
RABGGTB	1087
MSH4	1088
ASB17	1089
ST6GALNAC3	1090
TPI1P1	1091
LINC02567	1092
ST6GALNAC5	1093
PIGK	1094
AK5	1095
ZZZ3	1096
USP33	1097
ACTG1P21	1098
MIGA1	1099
MIGA1;NSRP1P1	1100
NEXN	1101
FUBP1	1102
DNAJB4	1103
DNAJB4;GIPC2	1104
GIPC2	1105
RNFT1P2	1106
MGC27382	1107
MGC27382;PTGFR	1108
PTGFR	1109
IFI44L	1110
IFI44	1111
ADGRL4	1112
LINC02792	1113
ADH5P2	1114
HMGB1P18	1115
HNRNPA1P64	1116
LINC01781	1117
MTND2P30	1118
RPL7P10	1119
RN7SKP247	1120
ADGRL2	1121
ADGRL2;HNRNPA3P14	1122
ADGRL2;ARID3BP1	1123
ADGRL2;ST13P20	1124
LINC01362	1125
LINC01362;LINC01361	1126
LINC01712	1127
LINC01725	1128
TTLL7	1129
PRKACB	1130
NEDD8P1	1131
SAMD13	1132
SAMD13;UOX	1133
UOX	1134
DNASE2B	1135
RPF1	1136
GNG5	1137
SPATA1	1138
SPATA1;CTBS	1139
CTBS	1140
LINC01555	1141
SSX2IP	1142
LPAR3	1143
MCOLN2	1144
DNAI3	1145
DNAI3;MCOLN3	1146
MIR4423	1147
SYDE2	1148
C1orf52	1149
BCL10	1150
DDAH1	1151
CCN1	1152
SNORD81	1153
ZNHIT6	1154
COL24A1	1155
LINC02795	1156
ODF2L	1157
CLCA2	1158
CLCA1	1159
CLCA4	1160
CLCA3P	1161
SH3GLB1	1162
SELENOF	1163
HS2ST1	1164
LINC01140	1165
LINC02801	1166
LMO4	1167
LINC01364	1168
RNA5SP52	1169
RN7SL583P	1170
RPL36AP10	1171
PKN2	1172
GTF2B	1173
KYAT3	1174
KYAT3;RBMXL1	1175
RBMXL1	1176
GBP3	1177
GBP1	1178
PTGES3P1	1179
GBP2	1180
GBP2;GBP7	1181
GBP7	1182
GBP4	1183
GBP5	1184
GBP6	1185
CAPNS1P1	1186
GBP1P1	1187
LRRC8B	1188
LRRC8C	1189
LRRC8D	1190
RN7SKP272	1191
GEMIN8P4	1192
ZNF326	1193
LINC02787	1194
SNORD3G	1195
BARHL2	1196
